"","Year","ST","MWh","Carbon","Carbon Intensity"
"209",1994,"CA",186191991,62249141,0.33
"210",1994,"CO",35651911,33837025,0.95
"211",1994,"CT",31178917,8510176,0.27
"212",1994,"DC",274252,311401,1.14
"213",1994,"DE",9230276,8692568,0.94
"214",1994,"FL",158146846,104093625,0.66
"215",1994,"GA",104356409,67015159,0.64
"216",1994,"HI",10108902,7967348,0.79
"217",1994,"IA",33167006,32714368,0.99
"218",1994,"ID",8726797,672881,0.08
"219",1994,"IL",141299295,72699045,0.51
"220",1994,"IN",107182057,104020716,0.97
"221",1994,"KS",37619869,30411541,0.81
"222",1994,"KY",84097034,75497086,0.9
"223",1994,"LA",79385961,49648064,0.63
"224",1994,"MA",37939064,24990746,0.66
"225",1994,"MD",45339618,29532270,0.65
"226",1994,"ME",16456150,4753246,0.29
"227",1994,"MI",98307389,75231764,0.77
"228",1994,"MN",43897655,33746989,0.77
"229",1994,"MO",61877678,50700855,0.82
"230",1994,"MS",28670498,15327371,0.53
"231",1994,"MT",25152849,17895807,0.71
"232",1994,"NC",100828662,56740401,0.56
"233",1994,"ND",29155825,30403743,1.04
"234",1994,"NE",21983131,15100371,0.69
"235",1994,"NH",13462499,4633224,0.34
"236",1994,"NJ",48435342,18743763,0.39
"237",1994,"NM",30390674,28929813,0.95
"238",1994,"NV",24517727,19657512,0.8
"239",1994,"NY",126029572,53403960,0.42
"240",1994,"OH",131763610,114359429,0.87
"241",1994,"OK",50058772,41123722,0.82
"242",1994,"OR",38440812,5940563,0.15
"243",1994,"PA",184078701,108269735,0.59
"244",1994,"RI",4732920,2318863,0.49
"245",1994,"SC",76942522,27125614,0.35
"246",1994,"SD",7991260,3092294,0.39
"247",1994,"TN",78334957,55229017,0.71
"248",1994,"TX",307179524,221911075,0.72
"249",1994,"UT",35196834,31604659,0.9
"250",1994,"VA",62048924,35268007,0.57
"251",1994,"VT",5617030,21046,0
"252",1994,"WA",88586476,12715713,0.14
"253",1994,"WI",52358955,41722338,0.8
"254",1994,"WV",81429542,74496266,0.91
"255",1994,"WY",43002285,44235139,1.03
"256",1995,"AK",6026116,4096318,0.68
"257",1995,"AL",105189366,68645659,0.65
"258",1995,"AR",41972088,25880242,0.62
"259",1995,"AZ",69780939,33338832,0.48
"260",1995,"CA",181463341,50272755,0.28
"261",1995,"CO",35617234,32895064,0.92
"262",1995,"CT",31472468,9734994,0.31
"263",1995,"DC",188862,222718,1.18
"264",1995,"DE",9032837,8093506,0.9
"265",1995,"FL",167414372,105950209,0.63
"266",1995,"GA",107878596,71705311,0.66
"267",1995,"HI",10303983,8350113,0.81
"268",1995,"IA",34752928,34812495,1
"269",1995,"ID",11844605,747375,0.06
"270",1995,"IL",148657931,73662901,0.5
"271",1995,"IN",109156846,105825940,0.97
"272",1995,"KS",38420705,29244571,0.76
"273",1995,"KY",86165836,77902133,0.9
"274",1995,"LA",84559724,51483937,0.61
"275",1995,"MA",37654481,23888655,0.63
"276",1995,"MD",46365643,28555441,0.62
"277",1995,"ME",9763051,4898432,0.5
"278",1995,"MI",107444612,75173155,0.7
"279",1995,"MN",45170884,33940356,0.75
"280",1995,"MO",65720958,56528247,0.86
"281",1995,"MS",28980861,16595470,0.57
"282",1995,"MT",25961314,16853088,0.65
"283",1995,"NC",106294656,59948849,0.56
"284",1995,"ND",29004247,29599547,1.02
"285",1995,"NE",25304300,17123703,0.68
"286",1995,"NH",15434379,4540768,0.29
"287",1995,"NJ",45098658,20147546,0.45
"288",1995,"NM",29831159,28603320,0.96
"289",1995,"NV",23963994,18078138,0.75
"290",1995,"NY",133413281,56978586,0.43
"291",1995,"OH",139343902,116389826,0.84
"292",1995,"OK",52667367,43174445,0.82
"293",1995,"OR",45265553,3310687,0.07
"294",1995,"PA",185451311,111784993,0.6
"295",1995,"RI",4488213,2178431,0.49
"296",1995,"SC",80913648,26414895,0.33
"297",1995,"SD",8811793,2954277,0.34
"298",1995,"TN",85730835,59326663,0.69
"299",1995,"TX",317636246,222315638,0.7
"300",1995,"UT",32807388,29680212,0.9
"301",1995,"VA",62996021,36573258,0.58
"302",1995,"VT",5160062,24184,0
"303",1995,"WA",102197586,9640940,0.09
"304",1995,"WI",53923131,43704133,0.81
"305",1995,"WV",80537427,74645559,0.93
"306",1995,"WY",40251609,41569580,1.03
"307",1996,"AK",6128892,4182692,0.68
"308",1996,"AL",121472911,74712068,0.62
"309",1996,"AR",46033563,28255337,0.61
"310",1996,"AZ",71654818,33395643,0.47
"311",1996,"CA",175263204,47130922,0.27
"312",1996,"CO",37137360,34575440,0.93
"313",1996,"CT",20211398,11302977,0.56
"314",1996,"DC",109809,135710,1.24
"315",1996,"DE",8854449,7942994,0.9
"316",1996,"FL",167084936,111002746,0.66
"317",1996,"GA",104320041,70949452,0.68
"318",1996,"HI",10627894,8532104,0.8
"319",1996,"IA",34688615,34759506,1
"320",1996,"ID",14089808,689317,0.05
"321",1996,"IL",147733029,81669703,0.55
"322",1996,"IN",109902102,109005714,0.99
"323",1996,"KS",39942156,33492050,0.84
